date,house_price_idx,apt_trade_count,buyer_dominance
2014-01,84.6194320172233,41973.0,95.9435626102293
2014-02,84.8844904858381,58819.0,96.988196988197
2014-03,85.1894326540993,64598.0,97.550881953867
2014-04,85.2917245251433,64890.0,96.078697421981
2014-05,85.3271187575895,52072.0,95.7598371777476
2014-06,85.3635882303796,49045.0,96.5337132003799
2014-07,85.4292561997855,52832.0,96.6363759663638
2014-08,85.5551280424529,54230.0,98.1554319815543
2014-09,85.870215629124,62271.0,100.759322033898
2014-10,86.1784239999311,78826.0,102.0
2014-11,86.4079486864456,64712.0,100.840677966102
2014-12,86.5904882320381,64682.0,99.9864406779661
2015-01,86.7674983784024,57418.0,100.156917735043
2015-02,87.0243454816116,57885.0,101.024973290598
2015-03,87.3964630617782,79312.0,103.495592948718
2015-04,87.9600053450596,83483.0,104.692091904889
2015-05,88.3782985369996,74385.0,104.00641025641
2015-06,88.8441725187237,72178.0,104.139957264957
2015-07,89.1587413687711,74112.0,103.9028564
2015-08,89.475198630586,62424.0,104.139792023167
2015-09,89.8692576159159,56434.0,104.570883243386
2015-10,90.2699099325811,70140.0,105.94971699355
2015-11,90.6383691701758,64841.0,105.913518494142
2015-12,90.8252791478088,55874.0,102.267342371989
2016-01,90.8468042410116,39695.0,100.983941029354
2016-02,90.8348007969561,38225.0,99.8354613663288
2016-03,90.8033351984327,49179.0,98.4664999341845
2016-04,90.8013831098205,54884.0,97.972884033171
2016-05,90.8210488796929,56369.0,97.8149269448466
2016-06,90.8584349917946,59252.0,97.6174805844412
2016-07,90.9013972370081,63906.0,97.8478346715809
2016-08,90.9715756326762,64462.0,98.4270106621035
2016-09,91.0604074982333,61599.0,98.4988452655889
2016-10,91.2750176296722,74208.0,99.9037721324095
2016-11,91.4734422426682,68816.0,99.8332050295099
2016-12,91.5180600137358,58496.0,98.3320502950988
2017-01,91.5256045557124,38086.0,97.4050551706441
2017-02,91.5164415361642,40436.0,96.824480369515
2017-03,91.5479694273252,48470.0,97.2414677957403
2017-04,91.6040352838744,46811.0,96.4482802874743
2017-05,91.7009085786175,53387.0,97.3802491331707
2017-06,91.9012605350596,64444.0,98.9282505455012
2017-07,92.040612493142,65605.0,99.4801694262611
2017-08,92.2585180302544,64300.0,97.7418527072107
2017-09,92.3052674627605,54953.0,95.554272517321
2017-10,92.3702871397286,40079.0,96.0161662817552
2017-11,92.4311266971044,48291.0,95.470875032076
2017-12,92.5086221561029,46292.0,94.3975827772882
2018-01,92.6426008169824,47525.0,94.542364345965
2018-02,92.8315141235266,49366.0,94.9641193503714
2018-03,92.9230348664083,62050.0,94.7312098703261
2018-04,92.8997096961874,46368.0,90.671031096563
2018-05,92.7616359325904,41989.0,87.8635276343951
2018-06,92.6191159648742,40367.0,86.8563515044693
2018-07,92.4867270626482,39353.0,86.9318897142138
2018-08,92.3909502053472,42894.0,88.2412186831172
2018-09,92.6722152535205,53754.0,92.433589323933
2018-10,92.7919665682796,64559.0,89.8023416845021
2018-11,92.7647092821996,41663.0,87.6180284527257
2018-12,92.5931285572767,33584.0,85.6666247009946
2019-01,92.3249379102541,31305.0,80.9830097087379
2019-02,92.0902224846332,28293.0,79.0594660194175
2019-03,91.8031408457587,31760.0,77.245145631068
2019-04,91.4286849402703,35893.0,76.0922330097087
2019-05,91.1315669872593,35710.0,75.7645631067961
2019-06,90.8838396598701,35221.0,76.122572815534
2019-07,90.6858412061463,44391.0,79.6966019417476
2019-08,90.555401951339,45497.0,81.4441747572816
2019-09,90.5088970777652,43979.0,83.0561961403083
2019-10,90.6078138958874,58311.0,85.0436946231339
2019-11,90.8123857220434,66768.0,87.7503337783712
2019-12,91.2740094786173,87933.0,93.0188106796116
2020-01,91.6142025843197,75986.0,94.217786055174
2020-02,92.0284540164769,87642.0,95.5481843575419
2020-03,92.7590210697856,79615.0,96.5782122905028
2020-04,93.1129888519257,48972.0,93.572509310987
2020-05,93.2623131928158,57426.0,92.6123137802607
2020-06,93.7986836696167,102482.0,97.696335078534
2020-07,94.6301713325663,102628.0,107.783595113438
2020-08,95.2412300707298,59429.0,108.397324025596
2020-09,95.7829721095466,58037.0,107.370564281559
2020-10,96.1624242925998,66174.0,106.591041303083
2020-11,96.8860983529135,89660.0,110.395578824898
2020-12,98.183261383615,106027.0,116.492146596859
2021-01,99.3065957617493,64371.0,118.516579406632
2021-02,100.611821455381,60057.0,120.104712041885
2021-03,101.683898146498,69827.0,116.986620127981
2021-04,102.715132664469,59232.0,112.582897033159
2021-05,103.718354307429,61666.0,112.376381617219
2021-06,105.482427873995,57861.0,117.425828970332
2021-07,106.755496790908,59386.0,121.741428571429
2021-08,108.190356601018,61170.0,123.881428571429
2021-09,109.477515710269,55191.0,122.93
2021-10,110.774089699791,48796.0,113.145714285714
2021-11,111.660155401626,41141.0,100.534285714286
2021-12,112.026269939226,30484.0,95.721184067661
2022-01,112.11098240806,24465.0,93.9585714285714
2022-02,112.087780027042,26232.0,92.7242857142857
2022-03,112.02575481148,32487.0,93.6142857142857
2022-04,112.020716019914,35679.0,94.2441212606075
2022-05,111.964088873305,37124.0,93.86
2022-06,111.847457321269,28147.0,92.7057142857143
2022-07,111.62659382076,21836.0,90.6557142857143
2022-08,111.057782347418,19516.0,87.39
2022-09,110.187588647792,18028.0,84.33
2022-10,108.86097319808,18570.0,80.6542857142857
2022-11,106.66509982817,18275.0,74.4914285714286
2022-12,103.556007779418,18222.0,70.5171428571429
2023-01,101.361489874429,17841.0,72.7611111111111
2023-02,99.7241321670233,31337.0,74.15
2023-03,98.6353274810389,38926.0,77.3722222222222
2023-04,98.0199003508459,34965.0,80.5319444444444
2023-05,97.7969760987439,40746.0,84.7777777777778
2023-06,97.7564096962821,39622.0,86.3277777777778
2023-07,97.8190914012128,36260.0,87.4708333333333
2023-08,98.0474849231658,39277.0,89.1944444444444
2023-09,98.3943051415516,37629.0,90.4027777777778
2023-10,98.661216794484,35454.0,90.1611111111111
2023-11,98.7038987956797,32821.0,88.4152777777778
2023-12,98.5578888087322,26934.0,86.8055555555556
2024-01,98.3599195508383,32111.0,86.664402173913
2024-02,98.1512624440442,33333.0,86.6182065217391
2024-03,97.9767121041568,40233.0,87.3002717391304
2024-04,97.9021922902369,44119.0,88.6657608695652
2024-05,97.8770590937844,43278.0,90.3790760869565
2024-06,97.9149062951534,43300.0,91.6236413043478
2024-07,98.1181029602333,54732.0,93.777176
2024-08,98.4384323606263,47916.0,95.1385869565217
2024-09,98.6640232635691,39362.0,94.7173913043478
2024-10,98.7451440381646,42914.0,94.0611413043478
2024-11,98.74275647916,36399.0,93.2907608695652
2024-12,98.6305165148818,34355.0,92.2676630434783
2025-01,98.4783824442997,29784.0,91.9701086956522
2025-02,98.3883390744178,39925.0,92.2391304347826
2025-03,98.3914811541526,53460.0,92.7228260869565
2025-04,98.3371288169396,50693.0,92.8879023897499
2025-05,98.3053349096171,48783.0,92.8932188521758
2025-06,98.475890990321,58892.0,94.3047396262527
2025-07,98.6229761871386,49940.0,93.830245354741
2025-08,98.6606866561568,34868.0,93.8873973258194
2025-09,98.743226761869,49665.0,94.85632260294
2025-10,99.0778805772913,56363.0,96.0365772614902
2025-11,99.3498933471846,49139.0,96.1947420186608
2025-12,99.6561891527607,48978.0,96.7317047236769
2026-01,100.0,48877.0,97.3098700124937
2026-02,100.278612318969,45483.0,96.8619580531115
2026-03,100.439616671216,56604.0,96.5442994231638
